Conference_ID,Conference_Type,Conference_Title,Conference_Country,Conference_City,Year,Conference_Theme,Person,Organization,Organization_Country,Organization_Region
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,William Thorne,Marquette University,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Gregory C.V. Johnson,National Association of Evangelicals,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Gregory C.V. Johnson,National Association of Evangelicals,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Brian D. Ray,National Home Education Research Institute,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Victoria Thorne,"National Office of PostAbortion Reconciliation and Healing, Inc. (Project Rachel)",United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Brian Brown,National Organization for Marriage,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Luca Giuseppe Volonté,Novae Terrae Foundation,Italy,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Luca Giuseppe Volonté,Novae Terrae Foundation,Italy,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Everett Piper,Oklahoma Wesleyan University,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Everett Piper,Oklahoma Wesleyan University,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Alveda C. King,Priests for Life,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Alessangro Fiore,Provita Associazionne,Italy,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Toni Brandi,Provita Associazionne,Italy,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Candi Finch,Southwestern Baptist Theological Seminary,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Evan Lenow,Southwestern Baptist Theological Seminary,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Paige Patterson,Southwestern Baptist Theological Seminary,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Josiah Trenham,St. Andrew Orthodox Christian Church,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Josiah Trenham,St. Andrew Orthodox Christian Church,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Gregory C.V. Johnson,Standing Together Ministries,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Don Feder,World Congress of Families,United States,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Fabrice Sorlin,World Congress of Families - France,France,The West
C10,Congress,WCF Congress X,Georgia,Tbilisi,2016,Civilization at the Crossroads: The Natural Family as The Bulwark of Freedom and Human Values,Nicholeen Peck,Worldwide Organization for Women,United States,The West
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Ann Kioko,African Organization for Families,Kenya,Africa
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Errol Naidoo,Family Policy Institute ,South Africa,Africa
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Nkechi Asogwa,Foundation for African Cultural Heritage - FACH,Nigeria,Africa
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Theresa Okafor,Foundation for African Cultural Heritage - FACH,Nigeria,Africa
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Sandra Onwuekwe,Fuqua School of Business,Nigeria,Africa
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Vincent Kimosop,Kenyan Christian Professionals Forum ,Kenya,Africa
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Roger Dang Nkodo,Member of Pan-African Parliament,Cameroon,Africa
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Abdulrazaq Namdas,Member of Pan-African Parliament,Nigeria,Africa
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Usman Sarki,Nigeria Ambassador to the United Nations,Nigeria,Africa
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Aketch Aimba,Pearls and Treasures Trust,Kenya,Africa
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Lawrence Khong,Faith Community Baptist Church,Singapore,Asia/Pacific
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Lawrence Khong,Faith Community Baptist Church,Singapore,Asia/Pacific
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Francisco S. Tatad ,Member of Parliament - Philippines,Philippines,Asia/Pacific
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Hodász András,777 blog,Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Péter Erdő,Archbishop of Esztergom-Budapest and Primate of Hungary,Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Bogdan Stanciu,Asociatia Provita Bucuresti,Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Mihaela Djorgova ,Association of Society and Values ,Bulgaria,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Gyula Háló,Baptist Union of Hungary,Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Gabriella Vukovich,Central Statistical Office,Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Balázs Ménesi,Christian Family Movement,Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",András Harmathy,Church Revision Committee,Russia,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Szabó Endre,Confederation of Family Associations in the Carpathian Basin,Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Alexandra Szalay-Bobrovniczky,"Deputy Mayor for Human Affairs, Municipality of Budapest",Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Fülöp Attila,"Deputy State Secretary for Churches, Minorities and Civil Affairs",Hungary,Post-Soviet
C11,Congress,WCF Congress XI,Hungary,Budapest,2017,"Building Family Friendly Nations, Making Families Strong Again",Attila Beneda,Deputy State Secretary for Family and Demographic Policy,Hungary,Post-Soviet
